0,1,2
0,brown hair,red eyes
1,red eyes,red hair
2,blonde hair,red eyes
3,blonde hair,blue eyes
4,blonde hair,blue eyes
5,blonde hair,blue eyes
6,black hair,red eyes
7,blonde hair,red eyes
8,brown eyes,brown hair
9,purple eyes,purple hair
10,blonde hair,brown eyes
11,brown eyes,brown hair
12,blue eyes,pink hair
13,blue eyes,pink hair
14,pink hair,red eyes
15,blonde hair,blue eyes
16,blonde hair,blue eyes
17,blue eyes,blue hair
18,pink hair,purple eyes
19,blonde hair,blue eyes
20,black hair,red eyes
21,green eyes,purple hair
22,blue eyes,pink hair
23,green hair,red eyes
24,blue eyes,pink hair
25,pink hair,yellow eyes
26,pink hair,red eyes
27,blonde hair,green eyes
28,brown hair,green eyes
29,blue eyes,pink hair
30,pink hair,red eyes
31,blue eyes,brown hair
32,blonde hair,red eyes
33,blonde hair,yellow eyes
34,blonde hair,blue eyes
35,blonde hair,red eyes
36,black eyes,black hair
37,blue eyes,red hair
38,blonde hair,blue eyes
39,black hair,red eyes
40,purple hair,red eyes
41,green eyes,red hair
42,black hair,green eyes
43,brown eyes,brown hair
44,blue eyes,brown hair
45,brown eyes,purple hair
46,blue eyes,brown hair
47,red eyes,red hair
48,green eyes,green hair
49,purple eyes,purple hair
50,blonde hair,blue eyes
51,black eyes,brown hair
52,blue eyes,blue hair
53,black eyes,brown hair
54,black hair,purple eyes
55,blonde hair,blue eyes
56,blue hair,red eyes
57,black eyes,black hair
58,blonde hair,blue eyes
59,black hair,blue eyes
60,purple hair,red eyes
61,blue eyes,brown hair
62,pink hair,purple eyes
63,brown eyes,brown hair
64,red eyes,red hair
65,brown eyes,red hair
66,green eyes,purple hair
67,black hair,red eyes
68,blue eyes,purple hair
69,black eyes,black hair
70,pink hair,red eyes
71,purple hair,red eyes
72,blonde hair,green eyes
73,blonde hair,purple eyes
74,blue eyes,pink hair
75,brown eyes,brown hair
76,green eyes,red hair
77,green eyes,red hair
78,blonde hair,red eyes
79,blue eyes,red hair
80,black hair,brown eyes
81,purple eyes,purple hair
82,black eyes,black hair
83,aqua hair,green eyes
84,brown eyes,purple hair
85,black hair,red eyes
86,blue eyes,brown hair
87,purple eyes,purple hair
88,red eyes,white hair
89,pink hair,purple eyes
90,blonde hair,red eyes
91,blonde hair,blue eyes
92,purple hair,red eyes
93,blonde hair,brown eyes
94,blonde hair,blue eyes
95,pink hair,red eyes
96,green eyes,green hair
97,blonde hair,red eyes
98,red eyes,red hair
99,brown hair,red eyes
100,black hair,red eyes
101,green eyes,green hair
102,pink eyes,pink hair
103,brown hair,yellow eyes
104,blonde hair,purple eyes
105,black eyes,black hair
106,blue eyes,red hair
107,blue eyes,green hair
108,blue eyes,pink hair
109,pink hair,purple eyes
110,blue eyes,purple hair
111,brown hair,green eyes
112,black hair,brown eyes
113,blue eyes,red hair
114,green hair,red eyes
115,blonde hair,yellow eyes
116,blue eyes,blue hair
117,aqua eyes,aqua hair
118,brown eyes,brown hair
119,blonde hair,blue eyes
120,pink hair,red eyes
121,black hair,blue eyes
122,black eyes,black hair
123,blonde hair,red eyes
124,black eyes,blonde hair
125,blue hair,brown eyes
126,blue eyes,pink hair
127,blonde hair,blue eyes
128,purple hair,red eyes
